"","state","letter_rating","overall_rank_method0","overall_rank_method1","overall_rank_method2","overall_rank_method3","report_26th_rank"
"130","Vermont","A-",NA,NA,NA,NA,13
"131","Virginia","A-",14,12,13,NA,NA
"132","Virginia","A+",NA,NA,NA,1,2
"133","Washington","C",38,37,NA,NA,NA
"134","Washington","B-",NA,NA,30,NA,30
"135","Washington","D",NA,NA,NA,46,NA
"136","West Virginia","D",47,48,46,NA,NA
"137","West Virginia","C",NA,NA,NA,38,NA
"138","West Virginia","B-",NA,NA,NA,NA,29
"139","Wisconsin","B-",29,30,27,29,26
"140","Wyoming","B",24,25,NA,25,NA
"141","Wyoming","C-",NA,NA,44,NA,NA
"142","Wyoming","A-",NA,NA,NA,NA,12
